symbol,price,1h,24h,7d,24h_volume,mkt_cap,target_liquidity_volume
BUSD,-0.1429625236091268,-0.4373198493842882,-0.3680065034994597,-0.0943712492492051,1.3594467116107776,0.3740220668849364,1.2413181887599438
BZRX,-0.1431419151673329,0.4572696144222273,6.827418258295727,1.9952765834216395,-0.1047620750071124,-0.0968236082692067,-0.1047620652783192
BZZ,-0.1429188779926384,0.121798565494784,0.4277228230990668,-0.1380877311042437,-0.10421817408254,-0.0967360228460791,-0.1043449920191236
C20,-0.1425391611291899,-0.139123361448783,-1.1975966525064343,-0.1512026756607553,-0.10474283462944,-0.0961714942715736,-0.1046735787470558
C98,-0.1428883260610966,0.5318187364061038,0.1906970662399313,0.1854142346230418,-0.0858362870151706,-0.0922701490960266,-0.0928566197078312
CAKE,-0.1419652212723683,0.60636785838998,-0.232563213865668,-0.4003866222344753,-0.0670239740685582,-0.0585133605198958,0.058181944254283
CBAT,-0.1431777209786374,-6.466105600944444e-17,0.0,0.0,0.0,-0.0962344479885096,0.0
CDAI,-0.1431759734152543,-0.40004528839235,-0.4018673259079077,-0.1031145456202128,-0.1047620470096464,-0.0476890786107809,-0.1047620130639876
CEL,-0.1424867863894039,-0.0272996784729685,0.1399058326272593,0.3253069765591652,-0.1033384167850555,-0.0633693924179152,-0.1034178336778598
CELO,-0.1426308169238154,0.4572696144222273,0.2245578886483791,-0.4353598077185061,-0.0878635047238113,-0.070519779391403,0.1658224789776767
CELR,-0.1431726622144571,0.7181915413657909,0.0721841878103617,-0.1162294901767244,-0.0917629021797149,-0.0932917649103993,-0.093972495613625
CET,-0.1431674065328705,-0.1763979224407211,0.1906970662399313,0.2116441237360649,-0.104449392771832,-0.0928130012914251,-0.1045715369729659
CETH,-0.1314597213836263,-0.40004528839235,-0.2494936250698919,0.0717513817999414,-0.1047616864752145,-0.0148424583651745,-0.104760373860202
CFX,-0.1431553868233182,0.3827204924383511,-0.2833544474783415,-0.4178732149764906,-0.1029650689090536,-0.0940299783033356,-0.1027725058614008
CHR,-0.1430979603216517,0.7181915413657909,0.3600011782821709,0.0324065481304067,-0.0835908094132718,-0.0931575822555782,-0.0836427580516649
CHSB,-0.143087288095508,0.4572696144222273,0.0383233654019155,-0.3391835476374212,-0.1043766356076936,-0.0881516567138728,-0.1045020330099799
CHZ,-0.1431374899382771,0.60636785838998,0.0044625429934675,-0.0156815819101357,-0.065104461785039,-0.071174595394104,-0.0655755575720831
CKB,-0.1431784483289654,0.1590731264867184,-0.0632591018234283,-0.1686892684027707,-0.1025283504869685,-0.0904511990646191,-0.1026285885920964
CLV,-0.14311402867359,0.3827204924383511,-0.232563213865668,-0.1730609165882746,-0.1017859377238024,-0.0966815800755531,-0.1011080749960287
COMP,-0.1192673184176101,0.60636785838998,0.3600011782821709,0.1242111600259877,-0.0899889045869463,-0.0796765388116696,-0.0847324354482997
CORE,1.3338742015066414,0.2336222484705985,0.1229754214230353,-0.0856279528781974,-0.104654965361832,-0.0969727949469324,-0.1047466151681561
COTI,-0.1431367754595352,0.2708968094625367,0.4107924118948429,-0.068141360136182,-0.0991137938195246,-0.0932276988491496,-0.1003535026912623
COVAL,-0.1431724016848937,-0.40004528839235,0.1906970662399313,-0.2692371766693595,-0.1045441651365499,-0.096959796010795,-0.10462913041376
CQT,-0.1431134798299626,0.4572696144222273,-1.0621533628726427,-0.7457468288892801,-0.1031437568272448,-0.0967214618934031,-0.1040623100436772
CRA,-0.1429825907724477,1.3891336392206812,1.392756261739833,0.0324065481304067,-0.1038439827303173,-0.0967179487896924,-0.1038946746725104
CRO,-0.1430931167493619,0.3081713704544748,0.3261403558737229,0.0630080854289337,-0.0687925581171248,0.1671085747080976,-0.0812289610907915
CRTS,-0.1431801074437097,-0.6982417763278552,-1.0282925404641945,-0.6714288097357145,-0.0998559524886509,-0.0934178242690941,-0.0987748363575338
CRV,-0.1427399309650363,0.60636785838998,-0.0293982794149803,-0.129344434733236,-0.0500552435093278,-0.0779642249606845,-0.0456970700213408
CSPR,-0.1431669142813225,0.4945441754141655,1.3081042057187116,-0.0200532300956395,-0.1007071356245693,-0.0918683382405028,-0.1010063268256082
CTC,-0.1429319716775849,0.1963476874786603,-0.1479111578445481,-0.0025666373536241,-0.1036095507119761,-0.0926361056670656,-0.1036309352083766
