coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Mina Protocol,MINA,-0.14278575886234907,0.19634768747866033,1.3758258505356091,-0.12060113836222831,-0.07925816458310896,-0.078886251554945,2022-03-16
Holo,HOT,-0.1431798464889721,0.6436424193819181,0.05525377660613948,0.01929160357389472,-0.08185392694906174,-0.07945939618174551,2022-03-16
Compound,COMP,-0.1192673184176101,0.60636785838998,0.36000117828217093,0.12421116002598775,-0.08998890458694633,-0.07967653881166967,2022-03-16
IoTeX,IOTX,-0.14316402701485306,1.2027608342609906,-0.28335444747834154,0.40836829208373815,-0.071515028952614,-0.07991321811633614,2022-03-16
Bitkub Coin,KUB,-0.1414589321211037,-0.21367248343265932,-0.4018673259079077,-0.25175058392734406,-0.10396693887246308,-0.08039132690144804,2022-03-16
Neutrino USD,USDN,-0.1429625236091268,-0.2509470444245975,-0.4187977371121317,-0.0725130083216863,-0.09920919398863215,-0.08067980381186729,2022-03-16
yearn.finance,YFI,3.9994123853671413,0.2708968094625367,-0.11405033543610019,-0.16431762021726648,-0.0750844988904947,-0.08093170187528552,2022-03-16
Nexus Mutual,NXM,-0.12299247178488944,0.60636785838998,0.1906970662399313,0.18104258643753793,-0.10476138881546473,-0.08210552908118642,2022-03-16
XDC Network,XDC,-0.1431697016183513,-0.43731984938428825,-0.774336372400835,0.320935328373661,-0.10116250259182386,-0.08256470920648053,2022-03-16
1inch,1INCH,-0.14285340956790596,0.4199950534302893,1.477408317760953,0.609464108616916,-0.06109954969485127,-0.08256859625672965,2022-03-16
WAX,WAXP,-0.14312093777468013,0.4199950534302893,-0.0632591018234283,-0.10311454562021288,-0.09503429371071144,-0.08259293668600162,2022-03-16
Smooth Love Potion,SLP,-0.1431771405507988,0.34544593144641295,-0.09711992423187626,-0.4353598077185061,-0.06875352731524131,-0.08261119446726498,2022-03-16
Qtum,QTUM,-0.14188229460104052,0.7181915413657909,-0.012467868210756397,0.05426478905792601,-0.07611492235447131,-0.08265267949179773,2022-03-16
PAX Gold,PAXG,0.27926080573737055,-0.10184880045684858,-0.31721526988678783,-0.35229849219393283,-0.09361650478912055,-0.08268633575866781,2022-03-16
Sushi,SUSHI,-0.14249988007435047,0.9791134683093615,0.7663310471835463,0.25536060559110313,-0.0568419916470784,-0.08290789081044961,2022-03-16
renBTC,RENBTC,8.70710714190856,0.23362224847059854,0.17376665503570732,0.10672456728397234,-0.09938691736439804,-0.08292532076450587,2022-03-16
Livepeer,LPT,-0.13798255876780785,0.7554661023577327,-0.012467868210756397,0.001805010831879726,-0.10066906211563778,-0.08326222710525209,2022-03-16
Ankr,ANKR,-0.143164999593027,0.49454417541416557,-0.13098074664032416,-0.3829000294924599,-0.08997706837185608,-0.08332173481685393,2022-03-16
Bancor Network Token,BNT,-0.14268100938277706,0.2708968094625367,0.15683624383148334,0.16792764188102635,-0.09529521022993419,-0.08342510640217468,2022-03-16
Pocket Network,POKT,-0.14302819171255474,0.34544593144641295,-0.4526585595205796,-0.3435551958229251,-0.10440883196860427,-0.0835077558993331,2022-03-16
Marinade staked SOL,MSOL,-0.12383919674476312,0.5690932973980419,-0.1648415690487738,0.08486632635645303,-0.09799756486438019,-0.0835646755494841,2022-03-16
OMG Network,OMG,-0.1422838342727332,0.34544593144641295,-0.13098074664032416,0.2509889574055997,-0.06608982433522417,-0.08365542527523598,2022-03-16
Zilliqa,ZIL,-0.14317180256549125,0.8672897853335473,0.13990583262725934,0.10235291909846847,-0.09100066500680684,-0.08374793768138958,2022-03-16
SafeMoon,SFM,-0.14318052726815772,1.053662590293238,-0.9775013068515227,-0.48781958594455244,-0.1046145926824369,-0.08388083484073543,2022-03-16
Render Token,RNDR,-0.14265045745123522,0.5318187364061038,0.1906970662399313,-0.2386356393708325,-0.09616420568427457,-0.08403935797743403,2022-03-16
Fei USD,FEI,-0.1429625236091268,-0.3254961664084738,-0.4018673259079077,-0.0899996010637013,-0.10104525613486529,-0.08411873643531113,2022-03-16
Gnosis,GNO,-0.07796765381552376,0.4199950534302893,0.021392954197691574,-0.11622949017672446,-0.10371684799174971,-0.08422274746737136,2022-03-16
ICON,ICX,-0.14301629479041236,0.60636785838998,-0.6219626715628193,0.8149315733355974,-0.08842915430395289,-0.08431805983012337,2022-03-16
Ravencoin,RVN,-0.14316944656862202,0.6436424193819181,0.3092099446694991,-0.07688465650718974,-0.09773364742567643,-0.08461033291470747,2022-03-16
IOST,IOST,-0.14317582655427136,0.5690932973980419,-0.21563280266144402,-0.03753982283765501,-0.0919508864600186,-0.08515611174086415,2022-03-16
Bitcoin Gold,BTG,-0.13669064851975316,0.3081713704544748,0.07218418781036176,0.036778196315910595,-0.10144678198871634,-0.08516696560687097,2022-03-16
Kava,KAVA,-0.1424911509510528,0.49454417541416557,0.1906970662399313,0.04552149268691832,-0.09651438279364973,-0.08549308304946224,2022-03-16
UMA,UMA,-0.14149166633346993,0.3081713704544748,-0.09711992423187626,-0.17306091658827463,-0.08806378193602445,-0.08553179152686548,2022-03-16
OEC Token,OKT,-0.13613853147117574,0.49454417541416557,-0.232563213865668,-0.37415673312145215,-0.10289034387538235,-0.08592545486140811,2022-03-16
Songbird,SGB,-0.14316704703604513,0.45726961442222736,-0.3002848586825639,-0.702030347034241,-0.10380894566328606,-0.08597227679770016,2022-03-16
e-Radix,EXRD,-0.14315408836622767,0.45726961442222736,0.6647485799582024,-0.08562795287819745,-0.10382389226490445,-0.08604124114564948,2022-03-16
Velas,VLX,-0.1431342355028837,-0.36277072740041194,-0.33414568109101184,-0.26486552848385564,-0.1032741146816507,-0.08606819617587126,2022-03-16
Rocket Pool,RPL,-0.13662736237584508,0.5318187364061038,0.29227953346527336,0.5526326822053659,-0.10455255748933936,-0.08613396810353084,2022-03-16
Tether Gold,XAUT,0.2823901964395841,-0.2509470444245975,-0.43572814831635565,-0.29546706578238263,-0.1034246064983094,-0.08614046462568885,2022-03-16
Moonbeam,GLMR,-0.1426613688553573,0.49454417541416557,0.24148829985260314,-0.2604938802983518,-0.09123283808926146,-0.08623688764937709,2022-03-16
Sapphire,SAPP,-0.14305752985950201,0.38272049243835116,-0.3849369147036837,-0.0419114710231593,-0.10460521403880227,-0.08638689113344752,2022-03-16
Horizen,ZEN,-0.13472877805860253,0.19634768747866033,0.6308877575497545,0.010548307202887436,-0.09420428519894097,-0.0864134201639411,2022-03-16
WOO Network,WOO,-0.14307326214019334,0.34544593144641295,1.0710784488595775,0.43896982938226553,-0.0828904997787824,-0.08648752081239217,2022-03-16
Liquity USD,LUSD,-0.1429625236091268,-0.36277072740041194,-0.4018673259079077,-0.13808773110424374,-0.1035938980116563,-0.08655131143099229,2022-03-16
Golem,GLM,-0.14307920012631659,0.23362224847059854,-0.02939827941498038,-0.47470464138804086,-0.09899686887670787,-0.08655837117445063,2022-03-16
Rally,RLY,-0.14314145361493855,0.60636785838998,-0.3849369147036837,-0.35667014037943623,-0.1035453120414628,-0.08655954935460781,2022-03-16
Baby Doge Coin,BABYDOGE,-0.14318075169094346,0.60636785838998,-0.046328690619204305,-0.2736088248548634,-0.10090136351377016,-0.08686921599020891,2022-03-16
Audius,AUDIO,-0.14302029098305802,0.6436424193819181,0.0383233654019155,-0.01568158191013571,-0.10189499843796128,-0.08699433194730753,2022-03-16
Siacoin,SC,-0.14317881376148434,0.3081713704544748,-0.02939827941498038,-0.12060113836222831,-0.1003054238217276,-0.0870192158707993,2022-03-16
Metis Token,METIS,-0.1112365249837566,0.60636785838998,-0.24949362506989198,-0.3085820103388942,-0.0906600289292687,-0.08728151768085235,2022-03-16
